px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
6.81542	-13.1362	-2.66443	-0.412765	-1.26356	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0
6.5523	-13.0865	-2.58403	-0.463749	-1.14385	6.40137	-13.0799	6.4	-13.05	-2.72678	0	13.8043
6.5523	-13.0865	-2.58403	-0.463749	-1.14385	6.26174	-13.0534	6.25	-13.05	-2.72678	0	0
6.27149	-13.0031	-2.58764	-0.535174	-1.07748	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	3.22984
6.27149	-13.0031	-2.58764	-0.535174	-1.07748	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	0
5.97823	-12.8284	-2.74556	-0.673531	-1.12529	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	12.6657
5.97823	-12.8284	-2.74556	-0.673531	-1.12529	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	0
5.73208	-12.7208	-2.66773	-0.708671	-1.02182	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	12.0768
5.73208	-12.7208	-2.66773	-0.708671	-1.02182	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0
5.45985	-12.532	-2.75156	-0.798027	-1.00521	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	3.26068
5.45985	-12.532	-2.75156	-0.798027	-1.00521	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	0
5.20474	-12.3667	-2.74729	-0.84634	-0.938683	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	3.00864
5.20474	-12.3667	-2.74729	-0.84634	-0.938683	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0
4.96554	-12.1651	-2.78549	-0.904852	-0.898465	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	1.79507
4.96554	-12.1651	-2.78549	-0.904852	-0.898465	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0
4.76612	-11.9336	-2.8177	-0.982921	-0.883695	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.618539
4.76612	-11.9336	-2.8177	-0.982921	-0.883695	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0
4.62735	-11.7079	-2.70515	-1.06571	-0.86327	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	7.60214
4.62735	-11.7079	-2.70515	-1.06571	-0.86327	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0
4.45288	-11.3613	-2.95224	-1.17284	-0.882537	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	36.058
4.45288	-11.3613	-2.95224	-1.17284	-0.882537	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0
4.42554	-11.1058	-2.7831	-1.30592	-0.930774	4.43713	-11.024	4.45	-11.05	0	1.81614	16.9182
4.42554	-11.1058	-2.7831	-1.30592	-0.930774	4.45136	-10.93	4.45	-10.95	0	1.81612	0
4.39345	-10.7946	-2.77602	-1.43495	-0.958811	4.44745	-10.786	4.45	-10.8	0	2.72555	0.383233
4.39345	-10.7946	-2.77602	-1.43495	-0.958811	4.45788	-10.6457	4.45	-10.65	0	2.72554	0
4.39337	-10.49	-2.76753	-1.56002	-0.981079	4.46329	-10.5756	4.45	-10.5	0	2.729	0.252658
4.39337	-10.49	-2.76753	-1.56002	-0.981079	4.44057	-10.3382	4.45	-10.35	0	2.72898	0
4.44513	-10.1829	-2.76034	-1.70025	-1.01827	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.564465
4.44513	-10.1829	-2.76034	-1.70025	-1.01827	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0
4.52152	-9.87318	-2.7814	-1.82496	-1.02676	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.594045
4.52152	-9.87318	-2.7814	-1.82496	-1.02676	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0
4.59086	-9.54399	-2.82923	-1.90593	-0.972658	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	2.8124
4.59086	-9.54399	-2.82923	-1.90593	-0.972658	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0
4.74671	-9.25301	-2.84872	-2.04148	-1.00325	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.799246
4.74671	-9.25301	-2.84872	-2.04148	-1.00325	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0
4.92139	-8.98925	-2.86497	-2.16852	-1.02904	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.381492
4.92139	-8.98925	-2.86497	-2.16852	-1.02904	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0
5.07887	-8.72983	-2.87475	-2.23963	-0.970799	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.9883
5.07887	-8.72983	-2.87475	-2.23963	-0.970799	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0
5.29193	-8.49841	-2.89179	-2.34923	-0.977874	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.234093
5.29193	-8.49841	-2.89179	-2.34923	-0.977874	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0
5.47663	-8.28084	-2.86891	-2.40584	-0.908976	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	2.5718
5.47663	-8.28084	-2.86891	-2.40584	-0.908976	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0
5.66416	-8.03817	-2.84715	-2.43759	-0.806479	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	5.44549
5.66416	-8.03817	-2.84715	-2.43759	-0.806479	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0
5.87935	-7.80651	-2.84516	-2.47738	-0.730954	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	3.11856
5.87935	-7.80651	-2.84516	-2.47738	-0.730954	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0
6.09044	-7.58236	-2.82762	-2.49805	-0.639123	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	4.59281
6.09044	-7.58236	-2.82762	-2.49805	-0.639123	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0
6.31357	-7.37489	-2.81135	-2.52121	-0.565875	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	3.03174
6.31357	-7.37489	-2.81135	-2.52121	-0.565875	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0
6.56153	-7.20577	-2.82019	-2.5857	-0.575568	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0.1663
6.56153	-7.20577	-2.82019	-2.5857	-0.575568	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0
6.73469	-6.97781	-2.76231	-2.53419	-0.404822	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	17.4299
6.73469	-6.97781	-2.76231	-2.53419	-0.404822	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0
6.99562	-6.8242	-2.76134	-2.58847	-0.417638	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.171743
